  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          3          0          0 
         3          2          0          0 
         4          6          0          0 
         5          6          0          1 
         6          5          0          0 
         7          6          0          1 
         8          2          0          0 
         9          6          1          0 
        10          2          0          1 
        11          6          1          0 
        12          1          0          0 
        13          4          0          0 
        14          3          0          0 
        15          6          1          0 
        16          3          0          1 
        17          6          0          1 
        18          2          0          0 
        19          6          1          0 
        20          2          0          1 
        21          7          0          0 
        22          2          1          0 
        23          1          0          0 
        24          2          1          0 
        25          2          0          1 
        26          1          0          1 
        27          1          1          0 
        28          1          0          1 
        29          4          0          0 
        30          1          1          0 
        31          1          1          0 
        32          4          0          1 
        33          7          0          0 
        34          2          0          0 
        35          1          1          0 
        36          2          0          1 
        37          7          1          0 
        38          1          0          1 
        39          3          0          0 
        40          2          1          0 
