  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          6          0          0 
         2          2          0          0 
         3          2          0          0 
         4          3          0          0 
         5          2          0          0 
         6          2          0          1 
         7          3          0          1 
         8          7          0          0 
         9          7          0          1 
        10          6          0          0 
        11          2          1          0 
        12          6          0          1 
        13          5          0          0 
        14          5          0          1 
        15          6          1          0 
        16          2          1          0 
        17          5          0          1 
        18          1          0          0 
        19          5          1          0 
        20          3          0          0 
        21          7          0          0 
        22          3          0          1 
        23          2          0          0 
        24          6          0          0 
        25          2          0          1 
        26          7          1          0 
        27          3          1          0 
        28          2          1          0 
        29          2          0          1 
        30          3          0          1 
        31          7          1          0 
        32          4          0          0 
        33          2          1          0 
        34          5          0          0 
        35          3          1          0 
        36          4          0          1 
        37          4          1          0 
        38          1          0          0 
        39          6          0          0 
        40          1          0          1 
        41          4          1          0 
