  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          6          0          0 
         3          1          1          0 
         4          1          0          1 
         5          1          1          0 
         6          2          0          0 
         7          2          0          1 
         8          6          0          0 
         9          6          0          1 
        10          6          1          0 
        11          6          1          0 
        12          2          0          0 
        13          2          0          1 
        14          6          0          0 
        15          6          0          1 
        16          5          0          0 
        17          5          0          1 
        18          1          0          0 
        19          5          1          0 
        20          5          0          1 
        21          3          0          0 
        22          3          0          1 
        23          3          1          0 
        24          4          0          0 
        25          4          0          1 
        26          4          1          0 
        27          4          1          0 
        28          6          0          0 
        29          2          0          0 
        30          2          0          1 
        31          2          1          0 
        32          2          1          0 
        33          2          1          0 
        34          6          0          0 
        35          6          0          1 
        36          3          0          0 
        37          3          0          1 
        38          3          1          0 
  
