  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          2          0          0 
         2          2          0          0 
         3          5          0          0 
         4          4          0          0 
         5          2          1          0 
         6          7          0          0 
         7          7          0          1 
         8          2          1          0 
         9          1          0          0 
        10          4          0          0 
        11          5          0          0 
        12          4          0          1 
        13          3          0          0 
        14          5          1          0 
        15          5          0          1 
        16          5          0          1 
        17          4          0          0 
        18          4          0          1 
        19          3          0          0 
        20          4          1          0 
        21          3          0          1 
        22          6          0          0 
        23          4          1          0 
        24          3          1          0 
        25          6          1          0 
        26          5          0          0 
        27          6          0          1 
        28          5          0          1 
        29          1          0          0 
        30          6          1          0 
        31          5          1          0 
        32          5          0          1 
        33          6          1          0 
        34          6          0          1 
        35          5          1          0 
        36          6          1          0 
        37          5          0          1 
        38          6          0          1 
        39          1          0          0 
