  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          3          0          0 
         3          3          0          0 
         4          3          0          1 
         5          1          0          0 
         6          2          0          0 
         7          2          0          1 
         8          5          0          0 
         9          2          1          0 
        10          2          1          0 
        11          1          0          0 
        12          1          0          1 
        13          2          1          0 
        14          1          1          0 
        15          2          0          1 
        16          1          0          1 
        17          1          1          0 
        18          3          0          0 
        19          3          0          1 
        20          3          0          1 
        21          2          0          0 
        22          5          0          0 
        23          2          0          1 
        24          2          1          0 
        25          5          1          0 
        26          2          1          0 
        27          2          1          0 
        28          5          1          0 
        29          7          0          0 
        30          1          0          0 
        31          5          1          0 
        32          1          0          1 
        33          1          1          0 
        34          1          0          1 
        35          3          0          0 
        36          7          0          0 
        37          4          0          0 
        38          4          0          1 
        39          4          0          1 
