  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          4          0          0 
         2          1          0          0 
         3          4          0          0 
         4          6          0          0 
         5          2          0          0 
         6          6          0          0 
         7          4          1          0 
         8          1          1          0 
         9          5          0          0 
        10          2          0          1 
        11          2          1          0 
        12          3          0          0 
        13          4          1          0 
        14          3          0          1 
        15          5          1          0 
        16          1          0          0 
        17          4          0          1 
        18          6          0          0 
        19          1          0          1 
        20          1          0          1 
        21          5          1          0 
        22          3          0          0 
        23          7          0          0 
        24          1          0          1 
        25          1          1          0 
        26          6          0          0 
        27          3          0          1 
        28          7          0          1 
        29          7          1          0 
        30          3          0          1 
        31          1          1          0 
        32          6          1          0 
        33          3          1          0 
        34          2          0          0 
        35          5          0          0 
        36          3          1          0 
        37          4          0          0 
        38          4          0          1 
        39          1          0          0 
        40          3          0          1 
        41          2          0          0 
        42          2          0          1 
  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          6          0          0 
         3          1          0          0 
         4          3          0          0 
         5          5          0          0 
         6          4          0          0 
         7          2          0          0 
         8          6          1          0 
         9          1          1          0 
        10          7          0          0 
        11          5          1          0 
        12          3          0          0 
        13          2          1          0 
        14          5          0          1 
        15          1          1          0 
        16          7          1          0 
        17          3          0          1 
        18          4          0          0 
        19          5          0          1 
        20          6          0          0 
        21          2          0          0 
        22          4          0          1 
        23          4          0          1 
        24          5          0          1 
        25          5          1          0 
        26          2          0          1 
        27          4          0          1 
        28          2          0          1 
        29          1          0          0 
        30          5          1          0 
        31          3          0          0 
        32          7          0          0 
        33          4          1          0 
        34          6          0          0 
        35          1          1          0 
        36          2          0          0 
        37          6          0          1 
        38          1          0          1 
        39          5          0          0 
        40          1          0          1 
        41          1          1          0 
        42          2          1          0 
