  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          4          0          0 
         3          4          0          0 
         4          5          0          0 
         5          6          0          0 
         6          7          0          0 
         7          4          1          0 
         8          4          1          0 
         9          4          0          1 
        10          7          0          1 
        11          7          1          0 
        12          7          0          1 
        13          4          1          0 
        14          5          0          0 
        15          2          0          0 
        16          1          0          0 
        17          3          0          0 
        18          5          0          1 
        19          7          0          0 
        20          2          1          0 
        21          2          0          1 
        22          7          0          1 
        23          4          0          0 
        24          7          1          0 
        25          2          1          0 
        26          2          1          0 
        27          5          0          0 
        28          1          0          0 
        29          7          1          0 
        30          1          0          1 
        31          2          1          0 
        32          6          0          0 
        33          6          0          1 
        34          7          1          0 
        35          3          0          0 
        36          6          0          1 
        37          7          0          1 
        38          4          0          0 
        39          7          1          0 
        40          7          0          1 
        41          4          0          1 
