  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          6          0          0 
         2          4          0          0 
         3          1          0          0 
         4          7          0          0 
         5          3          0          0 
         6          6          0          0 
         7          1          0          0 
         8          5          0          0 
         9          6          1          0 
        10          2          0          0 
        11          5          1          0 
        12          6          1          0 
        13          5          0          1 
        14          6          0          1 
        15          6          1          0 
        16          5          1          0 
        17          5          0          1 
        18          2          0          0 
        19          2          0          1 
        20          4          0          0 
        21          4          0          1 
        22          2          1          0 
        23          4          1          0 
        24          2          0          1 
        25          7          0          0 
        26          2          0          1 
        27          3          0          0 
        28          2          0          1 
        29          2          1          0 
        30          3          1          0 
        31          3          0          1 
        32          2          1          0 
        33          3          1          0 
        34          7          0          0 
        35          7          0          1 
        36          7          0          1 
        37          6          0          0 
        38          7          1          0 
        39          6          0          1 
