  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          7          0          0 
         3          4          0          0 
         4          7          0          1 
         5          4          0          1 
         6          7          0          1 
         7          2          0          0 
         8          1          0          0 
         9          4          0          0 
        10          4          0          1 
        11          4          0          1 
        12          6          0          0 
        13          4          1          0 
        14          6          0          1 
        15          4          0          1 
        16          6          0          1 
        17          6          1          0 
        18          6          0          1 
        19          2          0          0 
        20          7          0          0 
        21          6          1          0 
        22          1          0          0 
        23          2          0          0 
        24          7          0          0 
        25          5          0          0 
        26          2          1          0 
        27          2          0          1 
        28          5          1          0 
        29          5          0          1 
        30          2          1          0 
        31          3          0          0 
        32          5          1          0 
        33          2          1          0 
        34          3          1          0 
        35          5          1          0 
        36          5          0          1 
        37          3          1          0 
        38          5          1          0 
        39          2          0          0 
