  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          2          0          0 
         2          1          0          0 
         3          4          0          0 
         4          5          0          0 
         5          1          0          0 
         6          6          0          0 
         7          3          0          0 
         8          7          0          0 
         9          4          0          0 
        10          3          0          1 
        11          3          0          1 
        12          3          1          0 
        13          7          1          0 
        14          2          0          0 
        15          3          1          0 
        16          2          0          1 
        17          2          0          1 
        18          3          0          1 
        19          2          1          0 
        20          3          1          0 
        21          4          0          0 
        22          4          0          1 
        23          4          0          1 
        24          2          1          0 
        25          7          0          0 
        26          6          0          0 
        27          4          1          0 
        28          3          0          0 
        29          7          0          1 
        30          7          1          0 
        31          3          0          1 
        32          5          0          0 
        33          3          1          0 
        34          6          0          0 
        35          5          0          1 
        36          2          0          0 
        37          5          1          0 
        38          6          0          1 
        39          6          1          0 
        40          5          1          0 
        41          5          0          1 
