  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          5          0          0 
         3          2          0          0 
         4          7          0          0 
         5          6          0          0 
         6          1          0          0 
         7          4          0          0 
         8          7          0          1 
         9          1          0          1 
        10          2          0          0 
        11          2          0          1 
        12          4          0          1 
        13          5          0          0 
        14          7          1          0 
        15          6          0          0 
        16          4          0          1 
        17          1          0          0 
        18          4          1          0 
        19          5          1          0 
        20          3          0          0 
        21          6          1          0 
        22          2          0          0 
        23          1          1          0 
        24          2          0          1 
        25          2          0          1 
        26          2          0          1 
        27          5          0          0 
        28          1          0          1 
        29          1          1          0 
        30          4          0          0 
        31          2          1          0 
        32          4          0          1 
        33          5          1          0 
        34          1          1          0 
        35          1          1          0 
        36          4          1          0 
        37          5          0          1 
        38          6          0          0 
        39          5          1          0 
        40          2          0          0 
        41          3          0          0 
        42          3          0          1 
