  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          2          0          0 
         2          2          0          0 
         3          4          0          0 
         4          6          0          0 
         5          6          0          1 
         6          2          1          0 
         7          6          0          1 
         8          1          0          0 
         9          6          1          0 
        10          1          0          1 
        11          6          1          0 
        12          6          0          1 
        13          6          1          0 
        14          7          0          0 
        15          7          0          1 
        16          7          0          1 
        17          6          1          0 
        18          5          0          0 
        19          2          0          0 
        20          3          0          0 
        21          1          0          0 
        22          5          1          0 
        23          2          1          0 
        24          4          0          0 
        25          3          0          0 
        26          5          1          0 
        27          7          0          0 
        28          6          0          0 
        29          1          0          0 
        30          5          1          0 
        31          1          0          1 
        32          6          1          0 
        33          5          0          1 
        34          1          0          1 
        35          5          0          1 
        36          1          0          1 
        37          5          1          0 
        38          5          0          1 
        39          5          1          0 
        40          6          0          0 
