  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          7          0          0 
         3          6          0          0 
         4          3          0          0 
         5          7          0          1 
         6          2          0          0 
         7          3          0          1 
         8          2          0          1 
         9          6          0          0 
        10          2          1          0 
        11          1          0          0 
        12          2          1          0 
        13          2          0          1 
        14          3          0          0 
        15          3          0          1 
        16          7          0          0 
        17          2          1          0 
        18          7          0          1 
        19          5          0          0 
        20          7          1          0 
        21          2          1          0 
        22          2          0          1 
        23          7          0          1 
        24          7          1          0 
        25          1          0          0 
        26          2          1          0 
        27          7          1          0 
        28          2          0          1 
        29          7          0          1 
        30          2          1          0 
        31          2          0          1 
        32          3          0          0 
        33          7          1          0 
        34          5          0          0 
        35          6          0          0 
        36          2          0          0 
        37          7          1          0 
        38          4          0          0 
        39          6          1          0 
        40          6          0          1 
