  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          2          0          0 
         2          6          0          0 
         3          4          0          0 
         4          5          0          0 
         5          1          0          0 
         6          3          0          0 
         7          6          0          0 
         8          2          1          0 
         9          6          1          0 
        10          4          1          0 
        11          6          0          1 
        12          5          0          0 
        13          1          0          0 
        14          5          0          1 
        15          7          0          0 
        16          5          0          1 
        17          4          1          0 
        18          6          1          0 
        19          2          0          0 
        20          3          0          0 
        21          1          0          0 
        22          7          1          0 
        23          3          0          1 
        24          4          1          0 
        25          1          0          1 
        26          6          0          0 
        27          6          0          1 
        28          5          0          0 
        29          2          0          0 
        30          3          1          0 
        31          5          0          1 
        32          1          1          0 
        33          2          0          1 
        34          6          1          0 
        35          5          1          0 
        36          3          0          1 
        37          5          0          1 
        38          1          0          1 
        39          1          1          0 
        40          4          0          0 
        41          4          0          1 
        42          2          0          0 
        43          7          0          0 
