  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          4          0          0 
         3          4          0          1 
         4          4          1          0 
         5          4          0          1 
         6          3          0          0 
         7          4          1          0 
         8          3          1          0 
         9          3          0          1 
        10          7          0          0 
        11          7          0          1 
        12          1          0          0 
        13          1          0          1 
        14          6          0          0 
        15          6          0          1 
        16          4          0          0 
        17          1          0          0 
        18          1          0          1 
        19          1          1          0 
        20          1          0          1 
        21          1          1          0 
        22          1          0          1 
        23          1          1          0 
        24          1          0          1 
        25          4          0          0 
        26          1          1          0 
        27          2          0          0 
        28          1          1          0 
        29          1          0          1 
        30          1          1          0 
        31          1          1          0 
        32          1          1          0 
        33          1          0          1 
        34          2          0          0 
        35          3          0          0 
        36          5          0          0 
        37          3          1          0 
        38          5          0          0 
