  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          6          0          0 
         2          1          0          0 
         3          6          1          0 
         4          3          0          0 
         5          6          1          0 
         6          3          1          0 
         7          1          0          0 
         8          1          0          1 
         9          1          1          0 
        10          4          0          0 
        11          1          1          0 
        12          1          0          1 
        13          1          1          0 
        14          1          0          1 
        15          1          1          0 
        16          1          0          1 
        17          2          0          0 
        18          2          0          1 
        19          3          0          0 
        20          2          1          0 
        21          2          0          1 
        22          5          0          0 
        23          2          1          0 
        24          2          0          1 
        25          2          1          0 
        26          5          0          0 
        27          5          0          1 
        28          3          0          0 
        29          5          1          0 
        30          1          0          0 
        31          1          0          1 
        32          7          0          0 
        33          7          0          1 
        34          7          1          0 
        35          7          0          1 
        36          2          0          0 
        37          2          0          1 
        38          4          0          0 
