  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          2          0          0 
         2          3          0          0 
         3          7          0          0 
         4          2          1          0 
         5          2          0          1 
         6          2          0          1 
         7          2          1          0 
         8          2          1          0 
         9          6          0          0 
        10          3          0          0 
        11          2          1          0 
        12          5          0          0 
        13          3          1          0 
        14          5          0          1 
        15          1          0          0 
        16          2          0          0 
        17          1          0          1 
        18          2          0          1 
        19          7          0          0 
        20          1          1          0 
        21          1          0          1 
        22          7          1          0 
        23          4          0          0 
        24          6          0          0 
        25          4          0          1 
        26          7          0          0 
        27          6          1          0 
        28          7          0          1 
        29          7          1          0 
        30          7          0          1 
        31          2          0          0 
        32          7          1          0 
        33          4          0          0 
        34          3          0          0 
        35          7          1          0 
        36          7          0          1 
        37          3          1          0 
        38          3          0          1 
        39          3          0          1 
