  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          1          0          0 
         3          2          0          0 
         4          1          1          0 
         5          2          0          1 
         6          4          0          0 
         7          1          1          0 
         8          5          0          0 
         9          3          0          0 
        10          1          1          0 
        11          3          0          1 
        12          1          0          1 
        13          5          0          0 
        14          5          0          1 
        15          5          0          1 
        16          5          1          0 
        17          6          0          0 
        18          5          1          0 
        19          6          0          1 
        20          5          0          1 
        21          5          1          0 
        22          3          0          0 
        23          5          1          0 
        24          3          0          1 
        25          7          0          0 
        26          5          1          0 
        27          5          0          1 
        28          7          1          0 
        29          5          1          0 
        30          4          0          0 
        31          5          0          1 
        32          4          0          1 
        33          4          1          0 
        34          5          1          0 
        35          1          0          0 
        36          1          0          1 
        37          3          0          0 
        38          4          0          0 
        39          7          0          0 
