  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          4          0          0 
         3          3          0          0 
         4          6          0          0 
         5          5          1          0 
         6          5          0          1 
         7          3          1          0 
         8          6          1          0 
         9          5          1          0 
        10          3          0          1 
        11          1          0          0 
        12          4          0          0 
        13          1          0          1 
        14          7          0          0 
        15          5          0          0 
        16          5          0          1 
        17          1          1          0 
        18          3          0          0 
        19          3          0          1 
        20          6          0          0 
        21          6          0          1 
        22          3          1          0 
        23          3          1          0 
        24          6          1          0 
        25          3          0          1 
        26          6          0          1 
        27          5          0          0 
        28          4          0          0 
        29          6          0          1 
        30          3          0          0 
        31          3          0          1 
        32          4          1          0 
        33          7          0          0 
        34          3          1          0 
        35          5          0          0 
        36          6          0          0 
        37          7          1          0 
        38          5          0          1 
        39          6          0          1 
        40          6          1          0 
