  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          6          0          0 
         3          3          0          0 
         4          6          0          0 
         5          1          0          0 
         6          2          0          0 
         7          3          0          0 
         8          5          0          0 
         9          7          0          0 
        10          5          0          1 
        11          6          1          0 
        12          1          1          0 
        13          2          1          0 
        14          3          1          0 
        15          3          0          1 
        16          6          0          1 
        17          6          0          1 
        18          6          1          0 
        19          4          0          0 
        20          6          0          1 
        21          3          1          0 
        22          3          1          0 
        23          4          0          1 
        24          3          0          1 
        25          7          0          0 
        26          7          0          1 
        27          2          0          0 
        28          4          0          1 
        29          1          0          0 
        30          4          1          0 
        31          4          0          1 
        32          5          0          0 
        33          6          0          0 
        34          2          1          0 
        35          7          0          0 
        36          1          1          0 
        37          4          1          0 
        38          4          1          0 
        39          3          0          0 
        40          1          0          1 
        41          6          0          0 
        42          5          0          0 
        43          4          0          1 
