  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          7          0          1 
         3          7          1          0 
         4          7          1          0 
         5          3          0          0 
         6          3          0          1 
         7          4          0          0 
         8          4          0          1 
         9          5          0          0 
        10          4          1          0 
        11          5          1          0 
        12          5          0          1 
        13          1          0          0 
        14          1          0          1 
        15          2          0          0 
        16          2          0          1 
        17          7          0          0 
        18          2          1          0 
        19          4          0          0 
        20          4          0          1 
        21          1          0          0 
        22          4          1          0 
        23          6          0          0 
        24          4          1          0 
        25          4          0          1 
        26          3          0          0 
        27          3          0          1 
        28          5          0          0 
        29          5          0          1 
        30          5          1          0 
        31          3          0          0 
        32          3          0          1 
        33          3          1          0 
        34          3          1          0 
        35          6          0          0 
        36          6          0          1 
        37          6          1          0 
        38          6          1          0 
  
