  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          1          0          0 
         3          7          0          0 
         4          3          0          0 
         5          7          1          0 
         6          7          0          1 
         7          3          0          1 
         8          3          1          0 
         9          3          0          1 
        10          1          0          0 
        11          1          0          1 
        12          4          0          0 
        13          6          0          0 
        14          5          0          0 
        15          1          1          0 
        16          7          0          0 
        17          3          0          0 
        18          5          1          0 
        19          5          0          1 
        20          4          0          0 
        21          1          0          0 
        22          2          0          0 
        23          1          0          1 
        24          1          0          1 
        25          1          1          0 
        26          2          1          0 
        27          1          1          0 
        28          2          0          1 
        29          1          1          0 
        30          1          0          1 
        31          1          1          0 
        32          2          1          0 
        33          4          0          0 
        34          1          1          0 
        35          2          0          1 
        36          2          1          0 
        37          1          0          1 
        38          3          0          0 
        39          3          0          1 
        40          7          0          0 
