  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          2          0          0 
         3          6          0          0 
         4          1          0          0 
         5          1          0          0 
         6          7          0          0 
         7          4          0          0 
         8          5          0          0 
         9          7          0          1 
        10          3          0          0 
        11          6          0          0 
        12          1          1          0 
        13          1          0          1 
        14          6          0          1 
        15          3          0          1 
        16          5          0          0 
        17          6          0          1 
        18          3          0          1 
        19          2          0          0 
        20          5          0          1 
        21          7          0          0 
        22          5          0          1 
        23          5          1          0 
        24          6          1          0 
        25          4          0          0 
        26          2          1          0 
        27          5          1          0 
        28          1          0          0 
        29          3          0          0 
        30          4          0          1 
        31          6          1          0 
        32          2          0          1 
        33          3          0          1 
        34          5          1          0 
        35          2          0          1 
        36          3          1          0 
        37          1          0          0 
        38          7          0          0 
        39          2          1          0 
        40          3          1          0 
        41          4          0          0 
        42          2          1          0 
        43          3          1          0 
