  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          6          0          0 
         3          7          0          0 
         4          5          1          0 
         5          3          0          0 
         6          3          0          1 
         7          4          0          0 
         8          3          1          0 
         9          4          0          1 
        10          3          0          1 
        11          3          1          0 
        12          4          1          0 
        13          4          0          1 
        14          4          0          1 
        15          2          0          0 
        16          4          1          0 
        17          2          0          1 
        18          4          0          1 
        19          4          1          0 
        20          2          1          0 
        21          6          0          0 
        22          1          0          0 
        23          2          1          0 
        24          6          1          0 
        25          1          1          0 
        26          5          0          0 
        27          5          0          1 
        28          5          0          1 
        29          3          0          0 
        30          3          0          1 
        31          4          0          0 
        32          4          0          1 
        33          6          0          0 
        34          4          1          0 
        35          6          0          1 
        36          6          1          0 
        37          7          0          0 
        38          3          0          0 
        39          4          0          0 
