  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          3          0          0 
         3          4          0          0 
         4          1          0          0 
         5          1          0          0 
         6          5          0          0 
         7          3          1          0 
         8          4          1          0 
         9          5          0          1 
        10          5          0          1 
        11          5          1          0 
        12          4          0          1 
        13          5          0          1 
        14          5          1          0 
        15          4          0          1 
        16          4          0          1 
        17          3          0          0 
        18          3          0          1 
        19          5          1          0 
        20          4          1          0 
        21          1          0          0 
        22          3          1          0 
        23          7          0          0 
        24          6          0          0 
        25          4          1          0 
        26          2          0          0 
        27          1          0          0 
        28          6          0          1 
        29          1          0          1 
        30          5          0          0 
        31          1          0          1 
        32          1          1          0 
        33          6          1          0 
        34          4          0          0 
        35          4          0          1 
        36          4          0          1 
        37          1          1          0 
        38          5          0          0 
        39          6          0          0 
        40          2          0          0 
        41          4          1          0 
