  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          3          0          0 
         3          7          0          0 
         4          6          0          0 
         5          2          0          0 
         6          1          1          0 
         7          5          0          0 
         8          7          1          0 
         9          7          0          1 
        10          4          0          0 
        11          6          0          0 
        12          1          0          0 
        13          1          0          1 
        14          7          1          0 
        15          4          1          0 
        16          6          1          0 
        17          7          0          1 
        18          7          0          1 
        19          7          1          0 
        20          4          1          0 
        21          7          0          1 
        22          4          0          1 
        23          7          1          0 
        24          5          0          0 
        25          7          0          1 
        26          3          0          0 
        27          2          0          0 
        28          5          0          1 
        29          1          0          0 
        30          6          0          0 
        31          2          0          1 
        32          5          0          1 
        33          1          0          1 
        34          1          1          0 
        35          1          0          1 
        36          4          0          0 
        37          5          1          0 
        38          6          0          0 
        39          1          1          0 
        40          3          0          0 
        41          4          1          0 
