  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          5          0          0 
         3          6          0          0 
         4          6          0          0 
         5          3          0          0 
         6          2          0          0 
         7          6          0          1 
         8          2          0          1 
         9          6          1          0 
        10          2          0          1 
        11          3          0          0 
        12          1          0          0 
        13          6          0          1 
        14          6          1          0 
        15          3          0          1 
        16          1          0          1 
        17          1          1          0 
        18          3          0          1 
        19          7          0          0 
        20          6          0          0 
        21          1          1          0 
        22          1          1          0 
        23          3          1          0 
        24          5          0          0 
        25          6          1          0 
        26          1          1          0 
        27          4          0          0 
        28          7          0          0 
        29          7          0          1 
        30          5          0          0 
        31          1          1          0 
        32          1          0          1 
        33          7          1          0 
        34          5          0          1 
        35          1          0          1 
        36          1          1          0 
        37          5          0          1 
        38          2          0          0 
        39          4          0          0 
        40          1          1          0 
        41          7          0          0 
