  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          4          0          0 
         3          6          0          0 
         4          4          1          0 
         5          4          0          1 
         6          4          1          0 
         7          5          0          0 
         8          4          1          0 
         9          5          1          0 
        10          5          0          1 
        11          1          0          0 
        12          1          0          1 
        13          3          0          0 
        14          3          0          1 
        15          5          0          0 
        16          1          0          0 
        17          5          1          0 
        18          5          0          1 
        19          5          1          0 
        20          5          0          1 
        21          2          0          0 
        22          2          0          1 
        23          2          1          0 
        24          2          0          1 
        25          2          1          0 
        26          5          0          0 
        27          2          1          0 
        28          2          0          1 
        29          2          1          0 
        30          7          0          0 
        31          2          1          0 
        32          2          0          1 
        33          1          0          0 
        34          1          0          1 
        35          6          0          0 
        36          6          0          1 
        37          6          1          0 
        38          1          0          0 
