  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          3          0          0 
         3          3          0          1 
         4          3          1          0 
         5          3          1          0 
         6          5          0          0 
         7          3          1          0 
         8          5          1          0 
         9          5          0          1 
        10          5          1          0 
        11          4          0          0 
        12          4          0          1 
        13          5          0          0 
        14          2          0          0 
        15          2          0          1 
        16          3          0          0 
        17          3          0          1 
        18          4          0          0 
        19          4          0          1 
        20          3          0          0 
        21          3          0          1 
        22          6          0          0 
        23          6          0          1 
        24          6          1          0 
        25          1          0          0 
        26          6          1          0 
        27          1          1          0 
        28          6          1          0 
        29          6          0          1 
        30          6          1          0 
        31          4          0          0 
        32          6          1          0 
        33          6          0          1 
        34          4          0          0 
        35          4          0          1 
        36          2          0          0 
        37          4          1          0 
        38          4          0          1 
