  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          3          0          0 
         3          3          0          1 
         4          3          1          0 
         5          3          0          1 
         6          1          0          0 
         7          3          1          0 
         8          3          0          1 
         9          3          1          0 
        10          3          1          0 
        11          3          1          0 
        12          3          1          0 
        13          5          0          0 
        14          3          1          0 
        15          7          0          0 
        16          7          0          1 
        17          7          1          0 
        18          7          0          1 
        19          2          0          0 
        20          6          0          0 
        21          4          0          0 
        22          4          0          1 
        23          7          0          0 
        24          7          0          1 
        25          7          1          0 
        26          5          0          0 
        27          5          0          1 
        28          7          0          0 
        29          7          0          1 
        30          7          1          0 
        31          7          0          1 
        32          7          1          0 
        33          7          0          1 
        34          1          0          0 
        35          1          0          1 
        36          1          1          0 
        37          4          0          0 
        38          4          0          0 
