  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          3          0          0 
         3          7          0          0 
         4          6          0          0 
         5          1          0          0 
         6          4          0          0 
         7          3          1          0 
         8          6          0          1 
         9          4          0          1 
        10          2          0          0 
        11          3          0          1 
        12          3          0          1 
        13          3          1          0 
        14          6          1          0 
        15          1          0          0 
        16          6          0          1 
        17          4          0          0 
        18          4          0          1 
        19          4          0          1 
        20          1          0          1 
        21          7          0          0 
        22          6          1          0 
        23          5          0          0 
        24          4          1          0 
        25          4          1          0 
        26          2          0          0 
        27          7          1          0 
        28          6          1          0 
        29          3          0          0 
        30          4          1          0 
        31          4          1          0 
        32          3          0          1 
        33          1          0          0 
        34          4          0          1 
        35          2          0          0 
        36          4          1          0 
        37          4          1          0 
        38          5          0          0 
        39          7          0          0 
        40          6          0          0 
        41          4          0          1 
        42          7          0          1 
