  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          5          0          0 
         3          5          0          0 
         4          3          0          0 
         5          2          0          0 
         6          3          0          0 
         7          4          0          0 
         8          7          0          0 
         9          1          0          0 
        10          6          0          0 
        11          3          1          0 
        12          2          1          0 
        13          2          0          1 
        14          4          1          0 
        15          5          0          0 
        16          7          0          0 
        17          3          0          1 
        18          3          1          0 
        19          2          1          0 
        20          7          0          1 
        21          5          0          1 
        22          6          0          0 
        23          3          0          1 
        24          4          0          0 
        25          3          1          0 
        26          1          0          0 
        27          5          0          1 
        28          1          0          1 
        29          6          1          0 
        30          3          1          0 
        31          4          1          0 
        32          6          0          1 
        33          7          0          0 
        34          5          1          0 
        35          3          0          1 
        36          6          1          0 
        37          4          0          1 
        38          1          0          0 
        39          5          0          1 
        40          4          0          1 
        41          2          0          0 
        42          3          1          0 
        43          7          0          0 
