  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          1          0          0 
         3          1          0          0 
         4          1          0          0 
         5          5          0          0 
         6          6          0          0 
         7          2          0          0 
         8          1          1          0 
         9          1          1          0 
        10          6          0          1 
        11          4          0          0 
        12          4          0          1 
        13          2          1          0 
        14          4          0          1 
        15          2          0          1 
        16          4          0          1 
        17          4          1          0 
        18          6          0          0 
        19          2          1          0 
        20          1          0          0 
        21          7          0          0 
        22          1          0          1 
        23          3          0          0 
        24          3          0          1 
        25          1          0          1 
        26          3          0          1 
        27          1          0          1 
        28          1          1          0 
        29          4          0          0 
        30          6          0          0 
        31          1          1          0 
        32          3          1          0 
        33          4          0          1 
        34          1          1          0 
        35          5          0          0 
        36          6          1          0 
        37          1          1          0 
        38          1          0          1 
        39          3          0          0 
        40          7          0          0 
        41          2          0          0 
        42          6          1          0 
