  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          4          0          0 
         2          4          0          1 
         3          3          0          0 
         4          3          0          1 
         5          2          0          0 
         6          2          0          1 
         7          2          1          0 
         8          1          0          0 
         9          1          0          1 
        10          1          1          0 
        11          2          0          0 
        12          3          0          0 
        13          3          0          1 
        14          3          1          0 
        15          6          0          0 
        16          3          1          0 
        17          6          1          0 
        18          6          0          1 
        19          2          0          0 
        20          2          0          1 
        21          2          1          0 
        22          2          1          0 
        23          7          0          0 
        24          7          0          1 
        25          7          1          0 
        26          5          0          0 
        27          5          0          1 
        28          4          0          0 
        29          4          0          1 
        30          4          1          0 
        31          2          0          0 
        32          3          0          0 
        33          3          0          1 
        34          3          1          0 
        35          2          0          0 
        36          2          0          1 
        37          2          1          0 
        38          2          1          0 
