  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          2          0          0 
         3          1          0          0 
         4          2          0          1 
         5          1          0          1 
         6          4          0          0 
         7          4          0          1 
         8          6          0          0 
         9          4          1          0 
        10          3          0          0 
        11          6          1          0 
        12          6          0          1 
        13          3          1          0 
        14          3          0          1 
        15          2          0          0 
        16          1          0          0 
        17          7          0          0 
        18          1          0          1 
        19          1          1          0 
        20          7          1          0 
        21          4          0          0 
        22          3          0          0 
        23          7          1          0 
        24          7          0          1 
        25          3          1          0 
        26          3          0          1 
        27          7          1          0 
        28          7          0          1 
        29          3          1          0 
        30          7          1          0 
        31          7          1          0 
        32          7          0          1 
        33          3          0          0 
        34          2          0          0 
        35          7          1          0 
        36          4          0          0 
        37          6          0          0 
        38          6          0          1 
        39          6          0          1 
