  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          1          0          0 
         3          6          0          0 
         4          4          0          0 
         5          5          1          0 
         6          7          0          0 
         7          7          0          1 
         8          5          0          1 
         9          7          0          1 
        10          2          0          0 
        11          1          0          0 
        12          5          1          0 
        13          7          1          0 
        14          2          1          0 
        15          7          0          1 
        16          4          0          0 
        17          7          1          0 
        18          7          0          1 
        19          7          1          0 
        20          1          0          0 
        21          1          0          1 
        22          1          0          1 
        23          7          1          0 
        24          6          0          0 
        25          4          0          0 
        26          1          1          0 
        27          6          0          1 
        28          7          0          0 
        29          7          0          1 
        30          3          0          0 
        31          5          0          0 
        32          5          0          1 
        33          7          1          0 
        34          7          0          1 
        35          5          1          0 
        36          3          0          0 
        37          7          1          0 
        38          4          0          0 
        39          7          0          1 
        40          3          1          0 
