  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          1          0          0 
         2          1          0          0 
         3          7          0          0 
         4          5          0          0 
         5          4          0          0 
         6          7          0          1 
         7          7          1          0 
         8          2          0          0 
         9          4          1          0 
        10          5          0          0 
        11          2          0          1 
        12          4          0          1 
        13          5          0          1 
        14          6          0          0 
        15          4          0          1 
        16          4          1          0 
        17          3          0          0 
        18          6          1          0 
        19          4          1          0 
        20          4          1          0 
        21          2          0          0 
        22          6          1          0 
        23          5          0          0 
        24          7          0          0 
        25          3          0          0 
        26          6          1          0 
        27          7          0          1 
        28          3          0          1 
        29          7          0          1 
        30          7          0          1 
        31          6          0          0 
        32          1          0          0 
        33          7          1          0 
        34          7          1          0 
        35          7          0          1 
        36          7          0          1 
        37          7          1          0 
        38          1          0          0 
        39          1          0          1 
        40          7          1          0 
