  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          4          0          0 
         2          1          0          0 
         3          7          0          0 
         4          5          0          0 
         5          5          0          0 
         6          4          1          0 
         7          4          0          1 
         8          6          0          0 
         9          7          0          0 
        10          5          1          0 
        11          4          1          0 
        12          1          0          0 
        13          7          0          1 
        14          6          0          0 
        15          3          0          0 
        16          4          1          0 
        17          1          1          0 
        18          2          0          0 
        19          6          1          0 
        20          6          0          1 
        21          7          0          0 
        22          6          0          1 
        23          5          0          0 
        24          5          0          1 
        25          4          0          0 
        26          4          0          1 
        27          5          0          1 
        28          5          1          0 
        29          5          1          0 
        30          4          1          0 
        31          5          0          1 
        32          5          1          0 
        33          5          1          0 
        34          4          0          1 
        35          4          1          0 
        36          4          0          1 
        37          1          0          0 
        38          3          0          0 
        39          1          0          1 
        40          3          0          1 
        41          5          0          0 
