  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          4          0          0 
         3          6          0          0 
         4          6          0          0 
         5          5          0          0 
         6          5          0          0 
         7          3          0          0 
         8          3          0          1 
         9          7          0          0 
        10          2          0          0 
        11          1          0          0 
        12          6          0          0 
        13          3          0          1 
        14          3          1          0 
        15          3          1          0 
        16          1          0          1 
        17          6          0          1 
        18          1          1          0 
        19          3          0          1 
        20          3          1          0 
        21          5          0          0 
        22          4          0          0 
        23          7          0          0 
        24          2          0          0 
        25          7          0          1 
        26          3          1          0 
        27          3          1          0 
        28          7          0          1 
        29          1          0          0 
        30          7          1          0 
        31          2          1          0 
        32          3          0          1 
        33          2          0          1 
        34          2          0          1 
        35          7          1          0 
        36          1          1          0 
        37          6          0          0 
        38          7          0          1 
        39          3          1          0 
        40          7          0          1 
        41          4          0          0 
        42          5          0          0 
        43          1          1          0 
