  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          2          0          0 
         3          7          0          0 
         4          1          0          0 
         5          3          0          0 
         6          2          0          0 
         7          6          0          0 
         8          5          1          0 
         9          2          1          0 
        10          4          0          0 
        11          7          0          0 
        12          1          0          0 
        13          3          0          0 
        14          6          1          0 
        15          5          1          0 
        16          4          0          1 
        17          4          1          0 
        18          7          1          0 
        19          1          1          0 
        20          3          1          0 
        21          2          0          0 
        22          2          0          1 
        23          5          0          0 
        24          6          0          0 
        25          4          0          0 
        26          7          0          0 
        27          4          0          1 
        28          2          1          0 
        29          1          0          0 
        30          6          0          1 
        31          2          0          1 
        32          7          0          1 
        33          1          0          1 
        34          2          0          1 
        35          6          0          1 
        36          7          0          1 
        37          3          0          0 
        38          5          0          0 
        39          2          0          1 
        40          1          1          0 
        41          2          1          0 
        42          1          0          1 
        43          7          1          0 
