  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          1          0          0 
         3          2          0          0 
         4          2          0          0 
         5          5          0          0 
         6          2          0          0 
         7          7          1          0 
         8          1          1          0 
         9          2          1          0 
        10          4          0          0 
        11          6          0          0 
        12          5          0          0 
        13          7          1          0 
        14          3          0          0 
        15          2          1          0 
        16          1          0          0 
        17          6          1          0 
        18          1          0          1 
        19          6          0          1 
        20          3          1          0 
        21          3          0          1 
        22          3          0          1 
        23          4          0          0 
        24          7          0          0 
        25          1          0          0 
        26          4          0          1 
        27          5          0          0 
        28          4          0          1 
        29          7          0          1 
        30          7          1          0 
        31          2          0          0 
        32          1          0          0 
        33          4          0          1 
        34          4          1          0 
        35          7          1          0 
        36          4          0          1 
        37          1          0          1 
        38          1          1          0 
        39          4          1          0 
        40          1          0          1 
        41          1          0          1 
        42          5          0          0 
