  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          4          0          0 
         2          4          0          0 
         3          3          0          0 
         4          5          0          0 
         5          4          0          0 
         6          5          0          0 
         7          4          1          0 
         8          5          0          1 
         9          6          0          0 
        10          6          0          1 
        11          5          0          1 
        12          3          0          0 
        13          4          1          0 
        14          5          1          0 
        15          7          0          0 
        16          1          0          0 
        17          6          0          0 
        18          3          1          0 
        19          2          0          0 
        20          3          0          1 
        21          5          0          0 
        22          6          0          1 
        23          6          1          0 
        24          7          0          0 
        25          4          0          0 
        26          3          1          0 
        27          5          1          0 
        28          6          1          0 
        29          2          0          0 
        30          7          1          0 
        31          4          1          0 
        32          4          0          1 
        33          3          0          0 
        34          6          1          0 
        35          2          1          0 
        36          4          0          1 
        37          3          0          1 
        38          6          0          1 
        39          2          0          1 
        40          4          0          1 
        41          7          0          0 
        42          7          0          1 
