  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          6          0          0 
         2          4          0          0 
         3          7          0          0 
         4          2          0          0 
         5          6          1          0 
         6          3          0          0 
         7          6          0          1 
         8          2          1          0 
         9          3          0          1 
        10          2          0          1 
        11          6          1          0 
        12          5          0          0 
        13          3          1          0 
        14          6          0          1 
        15          5          0          1 
        16          1          0          0 
        17          7          0          0 
        18          5          0          1 
        19          5          1          0 
        20          4          0          0 
        21          7          1          0 
        22          5          1          0 
        23          1          0          0 
        24          6          0          0 
        25          7          1          0 
        26          2          0          0 
        27          1          1          0 
        28          2          0          1 
        29          3          0          0 
        30          7          0          0 
        31          7          0          1 
        32          2          1          0 
        33          2          0          1 
        34          2          0          1 
        35          7          1          0 
        36          2          1          0 
        37          7          0          1 
        38          7          0          1 
        39          3          0          0 
        40          1          0          0 
