  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          4          0          0 
         2          6          0          0 
         3          5          0          0 
         4          1          0          0 
         5          6          0          0 
         6          1          0          0 
         7          7          0          0 
         8          7          0          1 
         9          3          0          0 
        10          5          0          0 
        11          6          1          0 
        12          3          0          1 
        13          6          0          1 
        14          2          0          0 
        15          1          0          0 
        16          3          0          1 
        17          6          1          0 
        18          2          0          1 
        19          5          0          0 
        20          2          1          0 
        21          7          0          0 
        22          4          0          0 
        23          6          1          0 
        24          1          0          0 
        25          4          0          1 
        26          2          1          0 
        27          7          1          0 
        28          6          0          1 
        29          1          0          1 
        30          5          0          0 
        31          4          1          0 
        32          3          0          0 
        33          4          0          1 
        34          1          0          1 
        35          1          1          0 
        36          4          0          1 
        37          4          1          0 
        38          3          1          0 
        39          4          1          0 
        40          1          1          0 
        41          3          0          1 
        42          2          0          0 
