  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          1          0          0 
         3          3          0          0 
         4          3          0          0 
         5          2          0          0 
         6          2          0          1 
         7          5          0          0 
         8          7          0          0 
         9          7          0          1 
        10          2          1          0 
        11          5          0          1 
        12          2          0          1 
        13          4          0          0 
        14          1          0          0 
        15          7          0          0 
        16          3          0          0 
        17          1          0          1 
        18          4          1          0 
        19          1          1          0 
        20          5          0          0 
        21          3          1          0 
        22          1          1          0 
        23          3          0          1 
        24          5          0          1 
        25          4          0          0 
        26          3          1          0 
        27          6          0          0 
        28          2          0          0 
        29          4          0          1 
        30          5          0          0 
        31          3          1          0 
        32          6          1          0 
        33          2          1          0 
        34          6          0          1 
        35          2          0          1 
        36          3          1          0 
        37          3          0          1 
        38          3          0          1 
        39          6          1          0 
        40          7          0          0 
        41          3          1          0 
