  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          3          0          0 
         2          3          0          0 
         3          6          0          0 
         4          5          0          0 
         5          7          0          0 
         6          1          0          0 
         7          2          0          0 
         8          3          1          0 
         9          4          0          0 
        10          4          0          1 
        11          3          0          1 
        12          5          0          0 
        13          3          0          1 
        14          1          0          0 
        15          3          1          0 
        16          4          1          0 
        17          6          0          0 
        18          3          1          0 
        19          1          0          1 
        20          5          0          0 
        21          6          0          1 
        22          7          0          0 
        23          5          0          1 
        24          6          1          0 
        25          3          1          0 
        26          4          0          0 
        27          2          0          0 
        28          6          1          0 
        29          1          0          0 
        30          3          0          1 
        31          6          1          0 
        32          4          0          1 
        33          1          0          1 
        34          2          1          0 
        35          4          0          1 
        36          1          1          0 
        37          5          0          0 
        38          3          0          0 
        39          6          0          0 
        40          1          1          0 
        41          4          0          1 
        42          4          1          0 
        43          4          0          1 
  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          5          0          0 
         2          1          0          0 
         3          7          0          0 
         4          3          0          0 
         5          3          0          0 
         6          3          0          0 
         7          4          0          0 
         8          4          0          1 
         9          6          0          0 
        10          2          0          0 
        11          3          1          0 
        12          4          0          1 
        13          3          1          0 
        14          4          1          0 
        15          1          0          0 
        16          3          0          1 
        17          6          0          0 
        18          1          0          1 
        19          5          0          0 
        20          2          0          0 
        21          4          1          0 
        22          7          0          0 
        23          3          1          0 
        24          5          0          1 
        25          6          0          0 
        26          7          0          1 
        27          6          0          1 
        28          2          0          0 
        29          7          1          0 
        30          7          0          1 
        31          5          1          0 
        32          5          0          1 
        33          7          1          0 
        34          6          1          0 
        35          4          0          0 
        36          6          0          1 
        37          2          0          0 
        38          5          1          0 
        39          6          0          1 
        40          1          0          0 
        41          6          1          0 
        42          4          1          0 
        43          4          0          1 
